,games,name,pAssists,pBlocks,pFaceoffWins,pGoals,pHits,pPPpoints,pPenaltyMin,positionX,positionY
0,37.0,Dion Phaneuf,0.0778901687993,1.8654775089,-1.0,-0.0906643695488,0.592073323071,1.46379512946,1.63904902446,D,D
1,35.0,Tanner Pearson,0.0255355034576,-0.45906802128,-0.983006552388,0.730335799659,0.589546222558,-0.131805525809,-0.617079161156,LW,LW
2,35.0,David Savard,0.0255355034576,1.48828710211,-1.0,-0.807740466705,0.542794863071,-1.0,0.203465493509,D,D
3,35.0,Jordie Benn,-0.0884128858155,1.74072202551,-1.0,-0.615480933409,-0.251978248208,-1.0,0.0940595395536,D,D
4,39.0,Claude Giroux,1.24975024975,-0.579275127662,5.35947097185,0.725406068036,-0.244785731364,2.11659554838,0.178217965673,C,C
5,37.0,Patrice Bergeron,-0.4610549156,-0.0448408303683,5.510327565,0.273069882632,-0.270299726926,1.46379512946,-0.586031525574,C,C
6,39.0,Antoine Vermette,-0.0796476251022,0.100357358422,4.61219500633,0.207784247625,-0.286742079621,1.33744666128,0.0800331352003,C,RW
7,37.0,Paul Stastny,0.185679185679,-0.317743450263,4.64228388966,0.273069882632,-0.3145239859,0.642530086308,0.241905423277,C,C
8,31.0,Jonathan Toews,0.543816886925,-0.389270346606,5.60003578234,0.302403290066,-0.340202587885,1.94065870291,0.173467086779,C,C
9,37.0,Travis Zajac,0.724624270079,-0.488307587697,4.4815350609,0.454937008722,0.149830733329,1.46379512946,-0.172063051149,C,C
10,36.0,Ryan Johansen,1.21566312475,-0.474093909578,4.5346714793,0.308432934927,0.0454123440843,1.53223388306,0.170035896467,C,C
11,39.0,Sean Monahan,0.0226137498865,-0.611638579381,3.92592116045,0.725406068036,-0.559458343296,2.11659554838,-0.410891017163,C,C
12,36.0,John Tavares,0.772530499803,-0.684456345747,4.33641459049,1.05610889774,-0.590925604489,2.37631184408,0.382769695825,C,C
13,37.0,Jeff Carter,0.185679185679,-0.385969105237,4.14396252049,2.6373425218,0.0613822153805,3.92759025892,-0.275555169755,C,C
14,39.0,Bo Horvat,0.53392062483,-0.514548224226,3.72766427164,0.897946674839,-0.0559821642048,-0.220851112905,-0.214521356218,C,C
15,37.0,Nathan MacKinnon,0.724624270079,-0.522420415184,3.74209044858,0.636804134812,-0.46930889231,-0.178734956846,-0.793015762787,C,RW
16,32.0,Sidney Crosby,0.994096812279,-0.605570432183,4.29717624791,4.46738047809,0.0226859887781,7.54628935532,-0.282023427168,C,C
17,27.0,Ryan O'Reilly,0.62481962482,-0.158550255324,5.16799209633,0.744577246569,-0.8787927717,2.37631184408,-0.574532401285,C,C
18,37.0,Derick Brassard,-0.0298988480807,-0.692984552618,3.4527425568,0.454937008722,-0.049178432055,-0.178734956846,-0.482539406968,C,C
19,33.0,Tyler Bozak,0.571106579371,-0.655770558996,3.8482820991,0.427381383557,-0.355397922225,-0.0791876788878,-0.535853528674,C,C
20,38.0,Adam Henrique,0.154477101846,0.295389738514,3.16339466502,0.593730341791,0.0980417984775,0.599305610353,0.209223701612,C,LW
21,36.0,Eric Staal,1.10487996852,-0.333852285465,3.27904451683,1.05610889774,-0.454567472652,-0.155922038981,-0.255431702248,C,LW
22,36.0,Eric Staal,1.10487996852,-0.333852285465,3.27904451683,1.05610889774,-0.454567472652,-0.155922038981,-0.255431702248,C,LW
23,36.0,Eric Staal,1.10487996852,-0.333852285465,3.27904451683,1.05610889774,-0.454567472652,-0.155922038981,-0.255431702248,C,LW
24,36.0,Eric Staal,1.10487996852,-0.333852285465,3.27904451683,1.05610889774,-0.454567472652,-0.155922038981,-0.255431702248,C,LW
25,36.0,Mark Scheifele,0.994096812279,-0.368912691493,3.24600170203,1.80378486056,-0.272756630202,1.53223388306,0.276402796146,C,C
26,29.0,Jordan Staal,-0.0373325733827,-0.434197585477,4.25038933126,0.624261574392,0.890205827535,1.09564183426,-0.273770822883,C,C
27,37.0,Kyle Turris,0.293468202559,0.19394896204,3.09909513352,1.36427263917,-0.756766575642,-0.178734956846,0.500635719793,C,C
28,38.0,Ryan Nugent-Hopkins,0.154477101846,-0.468558055994,2.89731305109,0.239568043615,-0.354093059719,1.39895841553,-0.193850865592,C,C
29,36.0,Nazem Kadri,-0.113734750098,-0.474093909578,3.03122340582,1.42994687915,0.181770475921,3.2203898051,2.13782354053,C,C
30,36.0,Jay Beagle,-0.113734750098,-0.158550255324,2.99818059101,0.121513944223,-0.363662051427,-1.0,-0.574532401285,RW,C
31,32.0,Mike Fisher,0.246310507674,0.222731660232,3.44219341491,1.10283864542,0.968670528398,3.74793853073,1.09409833743,C,C
32,36.0,Ryan Getzlaf,1.76957890594,0.542657865239,2.7834022948,-0.0654050464807,0.0226859887781,0.688155922039,0.0636689967882,C,C
33,37.0,Torrey Mitchell,-0.4610549156,0.19394896204,2.48824958421,0.273069882632,-0.46930889231,-1.0,0.138413304671,C,C
