Player,Pos.x,Rk,Tm,Age,GP,G,A,PTS,X...,PIM,EV,PP,SH,GW,S,S.,TOI,G.1,A.1,PTS.1,S.1,OPS,DPS,PS.,Pos.y,Cap
Karl Alzner,D,154,WSH,28,36,3,3,6,8,12,3,0,0,0,39,7.7,731,0.08,0.08,0.17,1.08,0.1,2.3,2.4\,D,2800000
Cody Ceci,D,231,OTT,23,37,1,2,3,-11,10,1,0,0,0,66,1.5,864,0.03,0.05,0.08,1.78,-0.6,1.1,0.5\,D,2800000
Ryan Murray,D,342,CBJ,23,30,0,4,4,7,20,0,0,0,0,23,0,547,0,0.13,0.13,0.77,-0.2,1.4,1.2\,D,2825000
Kevin Klein,D,327,NYR,32,35,0,10,10,6,13,0,0,0,0,33,0,614,0,0.29,0.29,0.94,0.4,1.5,1.8\,D,2900000
Boone Jenner,C,98,CBJ,23,35,6,5,11,1,19,6,0,0,1,77,7.8,533,0.17,0.14,0.31,2.2,0.4,0.5,0.9\,LW,2900000
Deryk Engelland,D,239,CGY,34,39,1,6,7,8,50,1,0,0,1,50,2,713,0.03,0.15,0.18,1.28,0,2.2,2.2\,D,2916668
Mathieu Perreault,C,174,WPG,29,25,3,5,8,-11,16,2,1,0,0,52,5.8,406,0.12,0.2,0.32,2.08,0.1,0,0.1\,LW,3000000
Andrew Cogliano,LW,41,ANA,29,39,9,10,19,9,16,7,0,2,0,83,10.8,597,0.23,0.26,0.49,2.13,1.5,1.1,2.6\,LW,3000000
Kris Russell,D,357,EDM,29,31,0,5,5,2,10,0,0,0,0,36,0,666,0,0.16,0.16,1.16,-0.3,1.6,1.3\,D,3100000
Matt Stajan,C,178,CGY,33,39,3,12,15,7,12,3,0,0,1,31,9.7,515,0.08,0.31,0.38,0.79,0.5,0.9,1.5\,C,3125000
Clayton Stoner,D,274,ANA,31,14,1,2,3,0,28,1,0,0,0,16,6.3,246,0.07,0.14,0.21,1.14,0.1,0.6,0.7\,D,3250000
Tyler Toffoli,C,65,LAK,24,32,8,12,20,14,16,6,2,0,1,93,8.6,566,0.25,0.38,0.63,2.91,1.7,1.4,3.0\,RW,3250000
Justin Williams,RW,52,WSH,35,36,9,7,16,-2,26,7,2,0,0,79,11.4,565,0.25,0.19,0.44,2.19,1.2,0.6,1.8\,RW,3250000
Brenden Dillon,D,297,SJS,26,36,0,3,3,-4,31,0,0,0,0,31,0,574,0,0.08,0.08,0.86,-0.4,1.3,0.9\,D,3270000
Joel Ward,RW,218,SJS,36,35,2,8,10,0,12,1,0,1,1,44,4.5,555,0.06,0.23,0.29,1.26,-0.2,0.8,0.6\,RW,3275000
Trevor Daley,D,160,PIT,33,33,3,9,12,6,27,2,1,0,0,47,6.4,681,0.09,0.27,0.36,1.42,0.8,1.3,2.1\,D,3300000
Josh Bailey,LW,110,NYI,27,36,5,19,24,0,4,4,1,0,1,70,7.1,688,0.14,0.53,0.67,1.94,1.4,0.5,1.9\,LW,3300000
Cody Franson,D,242,BUF,29,33,1,7,8,2,20,0,1,0,0,48,2.1,589,0.03,0.21,0.24,1.45,0.3,1.7,2.0\,D,3325000
Jamie McGinn,LW,101,ARI,28,32,6,3,9,-4,19,6,0,0,2,62,9.7,434,0.19,0.09,0.28,1.94,0.5,0.3,0.8\,LW,3333333
Casey Cizikas,C,133,NYI,25,30,4,9,13,8,18,4,0,0,1,33,12.1,430,0.13,0.3,0.43,1.1,0.7,0.7,1.4\,C,3350000
Reilly Smith,RW,85,FLA,25,36,7,9,16,-6,8,2,4,1,2,73,9.6,691,0.19,0.25,0.44,2.03,0.7,0.6,1.3\,RW,3425000
Kyle Turris,C,15,OTT,27,37,13,12,25,1,29,12,1,0,3,72,18.1,715,0.35,0.32,0.68,1.95,2.4,0.9,3.3\,C,3500000
Mike Ribeiro,C,148,NSH,36,36,4,17,21,-2,14,2,2,0,0,29,13.8,576,0.11,0.47,0.58,0.81,1.2,0.6,1.8\,C,3500000
David Desharnais,C,161,MTL,30,25,3,6,9,4,4,3,0,0,0,23,13,327,0.12,0.24,0.36,0.92,0.4,0.4,0.9\,C,3500000
Erik Gudbranson,D,247,VAN,25,30,1,5,6,-14,18,1,0,0,1,40,2.5,610,0.03,0.17,0.2,1.33,0,0.3,0.3\,D,3500000
Eric Staal,C,26,MIN,32,36,11,19,30,13,14,9,1,1,5,94,11.7,694,0.31,0.53,0.83,2.61,2.7,1.1,3.9\,LW,3500000
Mark Stone,RW,27,OTT,24,36,11,17,28,1,17,6,5,0,3,55,20,667,0.31,0.47,0.78,1.53,2.7,0.8,3.5\,RW,3500000
Matt Read,RW,103,PHI,30,28,6,4,10,-2,2,4,2,0,0,42,14.3,411,0.21,0.14,0.36,1.5,0.7,0.4,1.1\,RW,3625000
Braydon Coburn,D,233,TBL,31,38,1,4,5,0,24,1,0,0,0,47,2.1,613,0.03,0.11,0.13,1.24,-0.1,1.3,1.2\,D,3700000
Simon Despres,D,295,ANA,25,1,0,0,0,0,0,0,0,0,0,1,0,16,0,0,0,1,0,0,0.0\,D,3700000
Dan Hamhuis,D,248,DAL,34,36,1,8,9,0,8,0,1,0,0,42,2.4,698,0.03,0.22,0.25,1.17,0.2,1.4,1.6\,D,3750000
David Perron,LW,37,STL,28,38,10,10,20,-6,30,8,2,0,3,76,13.2,689,0.26,0.26,0.53,2,1.5,0.6,2.0\,LW,3750000
Brendan Gallagher,RW,96,MTL,24,37,6,12,18,4,29,5,1,0,1,102,5.9,563,0.16,0.32,0.49,2.76,1.1,0.6,1.7\,RW,3750000
Matt Beleskey,LW,184,BOS,28,24,2,3,5,-6,23,2,0,0,0,44,4.5,362,0.08,0.13,0.21,1.83,-0.2,0.3,0.1\,LW,3800000
Cody Eakin,C,299,DAL,25,16,0,1,1,-7,17,0,0,0,0,14,0,225,0,0.06,0.06,0.88,-0.5,-0.1,-0.6\,C,3850000
Darren Helm,C,141,DET,30,17,4,3,7,6,8,2,2,0,1,28,14.3,259,0.24,0.18,0.41,1.65,0.5,0.6,1.1\,LW,3850000
Chris Kunitz,LW,167,PIT,37,32,3,13,16,7,22,3,0,0,2,59,5.1,487,0.09,0.41,0.5,1.84,0.8,0.6,1.4\,LW,3850000
Travis Hamonic,D,195,NYI,26,33,2,10,12,-14,49,2,0,0,0,54,3.7,686,0.06,0.3,0.36,1.64,0.7,-0.2,0.5\,D,3857143
Michael Del Zotto,D,137,PHI,26,22,4,5,9,-5,4,4,0,0,0,43,9.3,424,0.18,0.23,0.41,1.95,1,0.5,1.5\,D,3875000
Andrew Shaw,C,104,MTL,25,29,6,9,15,12,58,5,1,0,0,58,10.3,437,0.21,0.31,0.52,2,1.1,0.9,2.0\,C,3900000
Josh Gorges,D,311,BUF,32,33,0,1,1,-3,25,0,0,0,0,13,0,610,0,0.03,0.03,0.39,-0.7,1.3,0.6\,D,3900000
Wayne Simmonds,RW,3,PHI,28,39,17,15,32,-7,67,8,8,1,1,105,16.2,751,0.44,0.38,0.82,2.69,3.5,0.6,4.1\,RW,3975000
Ryan Johansen,C,76,NSH,24,36,7,20,27,1,22,3,3,1,3,83,8.4,674,0.19,0.56,0.75,2.31,2,0.8,2.8\,C,4000000
Cam Fowler,D,42,ANA,25,39,9,13,22,0,6,4,5,0,3,85,10.6,956,0.23,0.33,0.56,2.18,2.3,2.2,4.5\,D,4000000
Kevin Bieksa,D,186,ANA,35,39,2,1,3,-7,37,1,1,0,0,50,4,739,0.05,0.03,0.08,1.28,-0.4,1.1,0.7\,D,4000000
Marco Scandella,D,209,MIN,26,25,2,2,4,-2,12,2,0,0,0,37,5.4,423,0.08,0.08,0.16,1.48,0.1,0.5,0.7\,D,4000000
Michael Stone,D,366,ARI,26,25,0,6,6,-8,4,0,0,0,0,29,0,496,0,0.24,0.24,1.16,0,0.4,0.5\,D,4000000
Adam Henrique,C,45,NJD,26,38,9,11,20,-7,24,6,2,1,1,63,14.3,701,0.24,0.29,0.53,1.66,1.4,0.7,2.1\,LW,4000000
Benoit Pouliot,LW,126,EDM,30,33,5,2,7,-2,24,5,0,0,1,42,11.9,480,0.15,0.06,0.21,1.27,0,0.5,0.5\,LW,4000000
Bryan Bickell,LW,224,CAR,30,7,1,0,1,-1,4,0,1,0,1,6,16.7,68,0.14,0,0.14,0.86,0,0.1,0.1\,LW,4000000
Tyler Bozak,C,68,TOR,30,33,7,13,20,1,8,6,1,0,1,63,11.1,543,0.21,0.39,0.61,1.91,1.6,0.5,2.1\,C,4200000
Marc-Edouard Vlasic,D,181,SJS,29,35,3,6,9,1,31,2,1,0,2,63,4.8,739,0.09,0.17,0.26,1.8,0.4,2.2,2.6\,D,4250000
David Savard,D,268,CBJ,26,35,1,9,10,24,22,1,0,0,0,53,1.9,755,0.03,0.26,0.29,1.51,0.3,3.2,3.5\,D,4250000
Mike Fisher,C,30,NSH,36,32,10,10,20,-4,35,5,5,0,2,60,16.7,528,0.31,0.31,0.63,1.88,2,0.4,2.4\,C,4400000
Chris Tanev,D,368,VAN,27,16,0,3,3,2,6,0,0,0,0,8,0,329,0,0.19,0.19,0.5,-0.1,1,0.9\,D,4450000
Nazem Kadri,C,11,TOR,26,36,13,8,21,-1,59,8,5,0,3,116,11.2,591,0.36,0.22,0.58,3.22,2.2,0.5,2.7\,C,4500000
Jason Demers,D,72,FLA,28,38,7,9,16,0,18,7,0,0,0,47,14.9,775,0.18,0.24,0.42,1.24,1.6,2,3.6\,D,4500000
Francois Beauchemin,D,280,COL,36,37,0,8,8,-1,14,0,0,0,0,50,0,765,0,0.22,0.22,1.35,-0.1,1.9,1.9\,D,4500000
Brad Marchand,LW,34,BOS,28,40,10,21,31,4,42,8,2,0,3,112,8.9,758,0.25,0.53,0.78,2.8,2.7,1.3,4.0\,LW,4500000
Troy Brouwer,RW,55,CGY,31,36,8,9,17,-11,18,4,3,1,1,46,17.4,617,0.22,0.25,0.47,1.28,1,0.3,1.3\,RW,4500000
Alexandre Burrows,RW,70,VAN,35,34,7,8,15,0,33,7,0,0,0,69,10.1,495,0.21,0.24,0.44,2.03,1.1,0.6,1.8\,RW,4500000
Tyler Ennis,LW,240,BUF,27,12,1,1,2,-6,0,1,0,0,0,29,3.4,165,0.08,0.08,0.17,2.42,-0.1,0,-0.2\,C,4600000
Jason Garrison,D,243,TBL,32,36,1,5,6,-5,8,1,0,0,0,43,2.3,661,0.03,0.14,0.17,1.19,-0.1,1,1.0\,D,4600000
T.J. Brodie,D,156,CGY,26,39,3,11,14,-17,12,1,1,1,0,37,8.1,909,0.08,0.28,0.36,0.95,0.7,0.5,1.2\,D,4650000
Bryan Little,C,99,WPG,29,16,6,6,12,1,4,4,2,0,1,40,15,270,0.38,0.38,0.75,2.5,1.3,0.3,1.6\,C,4700000
Scott Hartnell,LW,44,CBJ,34,35,9,13,22,11,15,8,1,0,0,51,17.6,437,0.26,0.37,0.63,1.46,2.3,0.8,3.2\,LW,4750000
Marc Methot,D,337,OTT,31,33,0,4,4,12,10,0,0,0,0,45,0,677,0,0.12,0.12,1.36,-0.4,2.6,2.2\,D,4900000
Derick Brassard,C,54,OTT,29,37,8,9,17,1,10,7,1,0,1,85,9.4,646,0.22,0.24,0.46,2.3,1.1,0.8,1.9\,C,5000000
Andrew MacDonald,D,199,PHI,30,31,2,9,11,-1,8,2,0,0,0,20,10,611,0.06,0.29,0.35,0.65,0.7,1.3,2.0\,D,5000000
Morgan Rielly,D,267,TOR,22,36,1,16,17,-1,11,0,1,0,0,83,1.2,821,0.03,0.44,0.47,2.31,1,1.3,2.4\,D,5000000
Matt Moulson,LW,60,BUF,33,36,8,7,15,-3,4,1,7,0,1,69,11.6,479,0.22,0.19,0.42,1.92,1.3,0.5,1.8\,LW,5000000
James Neal,RW,8,NSH,29,32,14,6,20,-4,17,12,2,0,2,105,13.3,593,0.44,0.19,0.63,3.28,2.2,0.5,2.7\,RW,5000000
Shane Doan,RW,138,ARI,40,37,4,7,11,-3,30,3,1,0,0,80,5,562,0.11,0.19,0.3,2.16,0.1,0.5,0.6\,RW,5000000
Brayden Schenn,C,25,PHI,25,36,11,13,24,-6,24,3,8,0,4,84,13.1,642,0.31,0.36,0.67,2.33,2.2,0.5,2.7\,LW,5125000
Jared Spurgeon,D,150,MIN,27,32,4,12,16,23,12,4,0,0,1,60,6.7,762,0.13,0.38,0.5,1.88,1.3,3.3,4.6\,D,5187500
Mike Hoffman,LW,32,OTT,27,33,10,15,25,-2,27,4,6,0,3,102,9.8,571,0.3,0.45,0.76,3.09,2.5,0.6,3.1\,LW,5187500
Dennis Wideman,D,182,CGY,33,32,3,9,12,2,22,1,2,0,0,58,5.2,674,0.09,0.28,0.38,1.81,0.8,1.6,2.4\,D,5250000
Jamie Benn,LW,29,DAL,27,38,10,24,34,-6,35,4,6,0,2,87,11.5,768,0.26,0.63,0.89,2.29,2.7,0.6,3.3\,LW,5250000
Evander Kane,LW,57,BUF,25,25,8,5,13,-10,37,7,1,0,1,77,10.4,464,0.32,0.2,0.52,3.08,1.1,0.2,1.3\,LW,5250000
Jeff Carter,C,2,LAK,32,37,20,11,31,6,14,13,6,1,7,118,16.9,670,0.54,0.3,0.84,3.19,4,1.2,5.2\,C,5272727
Jarome Iginla,RW,121,COL,39,37,5,4,9,-8,43,3,2,0,0,77,6.5,563,0.14,0.11,0.24,2.08,0,0.4,0.4\,RW,5333333
Jaden Schwartz,LW,18,STL,24,34,12,9,21,1,6,9,3,0,3,78,15.4,654,0.35,0.26,0.62,2.29,1.9,0.8,2.7\,LW,5350000
Jay Bouwmeester,D,228,STL,33,38,1,7,8,-6,18,1,0,0,0,47,2.1,860,0.03,0.18,0.21,1.24,-0.1,1.5,1.4\,D,5400000
John Tavares,C,28,NYI,26,36,11,16,27,-1,26,7,4,0,0,105,10.5,726,0.31,0.44,0.75,2.92,2.3,0.5,2.8\,C,5500000
Tyson Barrie,D,155,COL,25,37,3,17,20,-20,14,3,0,0,1,93,3.2,869,0.08,0.46,0.54,2.51,1.5,0.6,2.1\,D,5500000
Dan Girardi,D,163,NYR,32,35,3,4,7,5,8,3,0,0,3,34,8.8,657,0.09,0.11,0.2,0.97,0.3,1.5,1.8\,D,5500000
Andrew Ladd,LW,58,NYI,31,36,8,4,12,-9,22,7,1,0,1,59,13.6,580,0.22,0.11,0.33,1.64,0.7,0.1,0.7\,LW,5500000
Duncan Keith,D,253,CHI,33,40,1,25,26,5,10,1,0,0,0,85,1.2,1044,0.03,0.63,0.65,2.13,1.7,2.6,4.4\,D,5538462
Jason Pominville,RW,125,MIN,34,36,5,9,14,1,2,5,0,0,0,72,6.9,517,0.14,0.25,0.39,2,0.7,0.5,1.2\,RW,5600000
Marc Staal,D,177,NYR,30,39,3,3,6,11,22,3,0,0,0,44,6.8,763,0.08,0.08,0.15,1.13,0.1,2.2,2.2\,D,5700000
Jeff Skinner,LW,14,CAR,24,35,13,14,27,-6,16,9,4,0,0,124,10.5,636,0.37,0.4,0.77,3.54,2.8,0.6,3.4\,LW,5725000
Tyler Seguin,C,13,DAL,25,38,13,25,38,-9,14,6,7,0,1,132,9.8,724,0.34,0.66,1,3.47,3.6,0.4,4.1\,C,5750000
Travis Zajac,C,66,NJD,31,37,8,16,24,-7,16,5,3,0,1,73,11,752,0.22,0.43,0.65,1.97,1.6,0.8,2.3\,C,5750000
Dougie Hamilton,D,97,CGY,23,38,6,16,22,0,36,6,0,0,3,111,5.4,737,0.16,0.42,0.58,2.92,2.2,1.6,3.8\,D,5750000
Brent Burns,D,4,SJS,31,37,15,20,35,12,14,11,4,0,3,151,9.9,911,0.41,0.54,0.95,4.08,4.5,3.7,8.1\,D,5760000
Patrick Sharp,LW,270,DAL,35,12,1,1,2,-7,12,0,0,1,0,28,3.6,198,0.08,0.08,0.17,2.33,-0.2,-0.1,-0.3\,LW,5900000
Matt Duchene,C,9,COL,26,33,13,11,24,-10,2,11,2,0,3,84,15.5,616,0.39,0.33,0.73,2.55,2.5,0.4,2.9\,C,6000000
Logan Couture,C,19,SJS,27,37,11,12,23,1,10,5,6,0,1,104,10.6,686,0.3,0.32,0.62,2.81,1.9,1.1,3.0\,C,6000000
Ryan Nugent-Hopkins,C,79,EDM,23,38,7,11,18,-9,16,4,3,0,2,105,6.7,680,0.18,0.29,0.47,2.76,1,0.4,1.3\,C,6000000
Jordan Staal,C,88,CAR,28,29,7,7,14,-1,11,4,2,1,1,61,11.5,533,0.24,0.24,0.48,2.1,0.9,0.7,1.6\,C,6000000
Mike Green,D,74,DET,31,32,7,11,18,-5,20,6,1,0,1,59,11.9,782,0.22,0.34,0.56,1.84,1.9,1.4,3.2\,D,6000000
Johnny Boychuk,D,132,NYI,33,35,4,8,12,1,15,3,0,1,1,74,5.4,693,0.11,0.23,0.34,2.11,1,1.1,2.0\,D,6000000
Milan Lucic,LW,33,EDM,28,38,10,16,26,-3,18,6,4,0,1,92,10.9,688,0.26,0.42,0.68,2.42,2.2,0.6,2.9\,LW,6000000
Jordan Eberle,RW,56,EDM,26,38,8,17,25,-4,4,5,3,0,0,100,8,675,0.21,0.45,0.66,2.63,1.9,0.6,2.5\,LW,6000000
Taylor Hall,LW,43,NJD,25,28,9,16,25,-4,8,5,4,0,2,89,10.1,569,0.32,0.57,0.89,3.18,2.3,0.7,3.0\,RW,6000000
Mark Scheifele,C,5,WPG,23,36,15,18,33,5,24,12,3,0,2,83,18.1,729,0.42,0.5,0.92,2.31,3.4,1,4.4\,C,6125000
Nathan MacKinnon,C,46,COL,21,37,9,16,25,-13,4,6,1,2,3,125,7.2,744,0.24,0.43,0.68,3.38,1.8,0.5,2.2\,RW,6300000
Sean Monahan,C,36,CGY,22,39,10,10,20,-14,12,6,4,0,2,80,12.5,699,0.26,0.26,0.51,2.05,1.3,0.2,1.6\,C,6375000
Alex Pietrangelo,D,82,STL,27,37,7,11,18,-5,14,4,3,0,2,83,8.4,925,0.19,0.3,0.49,2.24,1.7,1.8,3.4\,D,6500000
Patrick Marleau,LW,35,SJS,37,37,10,6,16,0,10,7,3,0,3,91,11,647,0.27,0.16,0.43,2.46,1.1,1,2.1\,LW,6666668
Joe Thornton,C,217,SJS,37,37,2,23,25,6,26,2,0,0,0,37,5.4,704,0.05,0.62,0.68,1,1,1.3,2.4\,C,6750000
Mark Giordano,D,119,CGY,33,39,5,10,15,8,34,1,2,2,1,80,6.3,946,0.13,0.26,0.38,2.05,1,2.7,3.8\,D,6750000
Patrice Bergeron,C,67,BOS,31,37,7,5,12,-1,8,4,3,0,4,130,5.4,713,0.19,0.14,0.32,3.51,0.2,1,1.2\,C,6875000
Brent Seabrook,D,210,CHI,31,38,2,19,21,-1,8,0,2,0,0,56,3.6,852,0.05,0.5,0.55,1.47,1.5,1.7,3.2\,D,6875000
Paul Stastny,C,89,STL,31,37,7,11,18,1,24,5,2,0,2,55,12.7,736,0.19,0.3,0.49,1.49,0.8,0.9,1.7\,C,7000000
Drew Doughty,D,95,LAK,27,37,6,12,18,5,22,4,2,0,0,87,6.9,1005,0.16,0.32,0.49,2.35,1.5,3,4.5\,D,7000000
Dion Phaneuf,D,124,OTT,31,37,5,10,15,-7,51,2,3,0,1,81,6.2,855,0.14,0.27,0.41,2.19,1.2,1.4,2.7\,D,7000000
Kris Letang,D,198,PIT,29,26,2,19,21,-3,20,1,1,0,1,80,2.5,677,0.08,0.73,0.81,3.08,1.7,0.5,2.2\,D,7250000
Ryan O'Reilly,C,80,BUF,25,27,7,11,18,-1,6,4,3,0,2,85,8.2,581,0.26,0.41,0.67,3.15,1.2,0.7,1.9\,C,7500000
Jason Spezza,C,86,DAL,33,31,7,15,22,-13,19,5,1,1,2,70,10,520,0.23,0.48,0.71,2.26,1.8,0,1.8\,C,7500000
Rick Nash,RW,12,NYR,32,30,13,7,20,-1,12,8,4,1,2,88,14.8,483,0.43,0.23,0.67,2.93,2.4,0.4,2.8\,LW,7800000
Shea Weber,D,51,MTL,31,37,9,12,21,16,20,1,8,0,3,93,9.7,963,0.24,0.32,0.57,2.51,2.2,2.9,5.1\,D,7857143
Ryan Getzlaf,C,118,ANA,31,36,5,25,30,-8,20,2,2,1,1,67,7.5,737,0.14,0.69,0.83,1.86,1.9,0.5,2.5\,C,8250000
Claude Giroux,C,31,PHI,29,39,10,22,32,-5,24,6,4,0,1,104,9.6,766,0.26,0.56,0.82,2.67,2.7,0.7,3.3\,C,8275000
Steven Stamkos,C,50,TBL,26,17,9,11,20,3,14,6,3,0,1,58,15.5,304,0.53,0.65,1.18,3.41,2.4,0.5,2.9\,C,8500000
Corey Perry,RW,81,ANA,31,39,7,22,29,-6,27,5,2,0,1,111,6.3,717,0.18,0.56,0.74,2.85,2.1,0.6,2.7\,RW,8625000
Sidney Crosby,C,1,PIT,29,32,26,16,42,9,12,17,9,0,3,112,23.2,615,0.81,0.5,1.31,3.5,6,0.8,6.7\,C,8700000
P.K. Subban,D,91,NSH,27,29,7,10,17,-11,25,4,3,0,2,80,8.8,727,0.24,0.34,0.59,2.76,1.8,0.6,2.4\,D,9000000
Jonathan Toews,C,107,CHI,28,31,6,12,18,0,19,3,3,0,2,82,7.3,644,0.19,0.39,0.58,2.65,0.9,0.7,1.6\,C,10500000
Josh Anderson,RW,53,CBJ,22,35,8,6,14,10,41,8,0,0,2,52,15.4,426,0.23,0.17,0.4,1.49,1.3,0.8,2.1\,RW,678333
Tanner Pearson,LW,49,LAK,24,35,9,9,18,10,7,8,1,0,0,72,12.5,551,0.26,0.26,0.51,2.06,1.6,1.2,2.8\,LW,1400000
Cody Bass,C,279,NSH,30,9,0,0,0,-1,19,0,0,0,0,1,0,61,0,0,0,0.11,-0.2,0,-0.1\,RW,612500
Robby Fabbri,C,21,STL,21,37,11,14,25,-5,25,7,4,0,0,65,16.9,588,0.3,0.38,0.68,1.76,2.4,0.5,2.9\,C,894167
Jon Marchessault,C,23,FLA,26,31,11,13,24,1,12,8,3,0,2,83,13.3,566,0.35,0.42,0.77,2.68,2.4,0.8,3.2\,C,750000
Mitch Marner,C,48,TOR,19,36,9,18,27,-2,18,8,1,0,3,100,9,614,0.25,0.5,0.75,2.78,2.4,0.5,2.9\,C,894167
William Nylander,C,61,TOR,20,35,8,17,25,-2,18,3,5,0,0,90,8.9,570,0.23,0.49,0.71,2.57,2.2,0.4,2.6\,C,894167
Sam Reinhart,C,62,BUF,21,36,8,14,22,-1,8,4,4,0,1,79,10.1,625,0.22,0.39,0.61,2.19,1.7,0.8,2.4\,C,894167
Alex Killorn,LW,17,TBL,27,38,12,7,19,-5,34,9,2,1,3,90,13.3,679,0.32,0.18,0.5,2.37,1.6,0.5,2.1\,LW,4450000
Mike Cammalleri,LW,40,NJD,34,32,9,10,19,-5,17,8,1,0,2,78,11.5,582,0.28,0.31,0.59,2.44,1.6,0.6,2.2\,LW,5000000
Nick Ritchie,LW,63,ANA,21,37,8,5,13,-3,22,7,1,0,1,69,11.6,494,0.22,0.14,0.35,1.86,1,0.5,1.5\,LW,894167
Phillip Danault,LW,71,MTL,23,37,7,9,16,-2,10,7,0,0,2,59,11.9,507,0.19,0.24,0.43,1.59,1.2,0.3,1.5\,LW,912500
P.A. Parenteau,RW,24,NJD,33,36,11,6,17,-10,29,8,3,0,2,69,15.9,563,0.31,0.17,0.47,1.92,1.6,0.4,2.0\,RW,1250000
Anthony Mantha,RW,47,DET,22,22,9,7,16,10,12,8,1,0,2,54,16.7,372,0.41,0.32,0.73,2.45,1.8,0.9,2.7\,RW,863333
Connor Brown,RW,69,TOR,23,36,7,9,16,5,6,6,1,0,1,59,11.9,542,0.19,0.25,0.44,1.64,1.1,0.7,1.8\,RW,686667
Devin Shore,C,105,DAL,22,38,6,8,14,-1,4,6,0,0,0,55,10.9,505,0.16,0.21,0.37,1.45,0.8,0.5,1.3\,C,870000
Andreas Athanasiou,C,109,DET,22,23,5,2,7,-4,9,5,0,0,0,40,12.5,278,0.22,0.09,0.3,1.74,0.6,0.2,0.8\,C,628333
Max Domi,LW,115,ARI,21,26,5,11,16,-5,22,4,1,0,1,58,8.6,449,0.19,0.42,0.62,2.23,1.1,0.3,1.4\,LW,863333
Micheal Ferland,LW,117,CGY,24,39,5,6,11,-5,19,3,2,0,0,47,10.6,425,0.13,0.15,0.28,1.21,0.6,0.3,0.9\,LW,825000
Devin Setoguchi,RW,149,LAK,30,31,4,5,9,-1,6,4,0,0,0,42,9.5,406,0.13,0.16,0.29,1.35,0.4,0.5,0.9\,RW,575000
Alex Steen,LW,151,STL,32,32,4,16,20,-11,31,4,0,0,0,45,8.9,627,0.13,0.5,0.63,1.41,1,0.3,1.2\,LW,5800000
Scott Wilson,LW,153,PIT,24,35,4,6,10,-1,4,4,0,0,1,63,6.3,388,0.11,0.17,0.29,1.8,0.5,0.2,0.7\,LW,625000
Tyler Graovac,C,164,MIN,23,28,3,0,3,1,4,3,0,0,1,24,12.5,279,0.11,0,0.11,0.86,-0.1,0.3,0.2\,C,625000
Brandon Manning,D,168,PHI,26,34,3,6,9,-5,27,2,0,1,1,42,7.1,615,0.09,0.18,0.26,1.24,0.6,0.9,1.5\,D,975000
Jake Muzzin,D,171,LAK,27,37,3,5,8,-5,24,2,1,0,0,73,4.1,812,0.08,0.14,0.22,1.97,0.2,1.6,1.9\,D,4000000
Chris Tierney,C,180,SJS,22,37,3,7,10,-5,0,2,0,1,1,38,7.9,522,0.08,0.19,0.27,1.03,0,0.6,0.6\,C,711667
Nicholas Baptiste,RW,183,BUF,21,12,2,0,2,1,6,2,0,0,0,12,16.7,104,0.17,0,0.17,1,0.2,0.2,0.3\,RW,718333
Drake Caggiula,LW,188,EDM,22,20,2,4,6,-2,2,1,1,0,0,25,8,262,0.1,0.2,0.3,1.25,0.2,0.2,0.4\,LW,925000
Joseph Cramarossa,LW,190,ANA,24,27,2,4,6,-3,35,2,0,0,0,16,12.5,272,0.07,0.15,0.22,0.59,0.1,0.2,0.3\,LW,724500
Lawson Crouse,LW,191,ARI,19,33,2,2,4,-10,32,2,0,0,1,35,5.7,378,0.06,0.06,0.12,1.06,-0.4,0,-0.4\,LW,894167
