,,,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,,,,Per Game,Per Game,Per Game,Per Game,Point Shares,Point Shares,Point Shares\
Rk,Player,Tm,Lg,Pos,Season,Age,GP,G,A,PTS,#ERROR!,PIM,EV,PP,SH,GW,S,S%,TOI,G,A,PTS,S,OPS,DPS,PS\
51,Shea Weber\\webersh01,MTL,NHL,D,2016-17,31,37,9,12,21,16,20,1,8,0,3,93,9.7,963,0.24,0.32,0.57,2.51,2.2,2.9,5.1\
52,Justin Williams\\williju01,WSH,NHL,RW,2016-17,35,36,9,7,16,-2,26,7,2,0,0,79,11.4,565,0.25,0.19,0.44,2.19,1.2,0.6,1.8\
53,Josh Anderson\\anderjo05,CBJ,NHL,RW,2016-17,22,35,8,6,14,10,41,8,0,0,2,52,15.4,426,0.23,0.17,0.4,1.49,1.3,0.8,2.1\
54,Derick Brassard\\brassde01,OTT,NHL,C,2016-17,29,37,8,9,17,1,10,7,1,0,1,85,9.4,646,0.22,0.24,0.46,2.3,1.1,0.8,1.9\
55,Troy Brouwer\\brouwtr01,CGY,NHL,RW,2016-17,31,36,8,9,17,-11,18,4,3,1,1,46,17.4,617,0.22,0.25,0.47,1.28,1,0.3,1.3\
56,Jordan Eberle\\eberljo01,EDM,NHL,RW,2016-17,26,38,8,17,25,-4,4,5,3,0,0,100,8,675,0.21,0.45,0.66,2.63,1.9,0.6,2.5\
57,Evander Kane\\kaneev01,BUF,NHL,LW,2016-17,25,25,8,5,13,-10,37,7,1,0,1,77,10.4,464,0.32,0.2,0.52,3.08,1.1,0.2,1.3\
58,Andrew Ladd\\laddan01,NYI,NHL,LW,2016-17,31,36,8,4,12,-9,22,7,1,0,1,59,13.6,580,0.22,0.11,0.33,1.64,0.7,0.1,0.7\
59,Dominic Moore\\mooredo01,BOS,NHL,C,2016-17,36,40,8,4,12,4,18,6,0,2,1,46,17.4,512,0.2,0.1,0.3,1.15,0.9,0.9,1.8\
60,Matt Moulson\\moulsma01,BUF,NHL,LW,2016-17,33,36,8,7,15,-3,4,1,7,0,1,69,11.6,479,0.22,0.19,0.42,1.92,1.3,0.5,1.8\
61,William Nylander\\nylanwi01,TOR,NHL,C,2016-17,20,35,8,17,25,-2,18,3,5,0,0,90,8.9,570,0.23,0.49,0.71,2.57,2.2,0.4,2.6\
62,Sam Reinhart\\reinhsa01,BUF,NHL,C,2016-17,21,36,8,14,22,-1,8,4,4,0,1,79,10.1,625,0.22,0.39,0.61,2.19,1.7,0.8,2.4\
63,Nick Ritchie\\ritchni01,ANA,NHL,LW,2016-17,21,37,8,5,13,-3,22,7,1,0,1,69,11.6,494,0.22,0.14,0.35,1.86,1,0.5,1.5\
64,Zack Smith\\smithza01,OTT,NHL,C,2016-17,28,35,8,7,15,6,31,6,0,2,0,69,11.6,559,0.23,0.2,0.43,1.97,1.1,0.9,2.0\
65,Tyler Toffoli\\toffoty01,LAK,NHL,C,2016-17,24,32,8,12,20,14,16,6,2,0,1,93,8.6,566,0.25,0.38,0.63,2.91,1.7,1.4,3.0\
66,Travis Zajac\\zajactr01,NJD,NHL,C,2016-17,31,37,8,16,24,-7,16,5,3,0,1,73,11,752,0.22,0.43,0.65,1.97,1.6,0.8,2.3\
67,Patrice Bergeron\\bergepa01,BOS,NHL,C,2016-17,31,37,7,5,12,-1,8,4,3,0,4,130,5.4,713,0.19,0.14,0.32,3.51,0.2,1,1.2\
68,Tyler Bozak\\bozakty01,TOR,NHL,C,2016-17,30,33,7,13,20,1,8,6,1,0,1,63,11.1,543,0.21,0.39,0.61,1.91,1.6,0.5,2.1\
69,Connor Brown\\brownco02,TOR,NHL,RW,2016-17,23,36,7,9,16,5,6,6,1,0,1,59,11.9,542,0.19,0.25,0.44,1.64,1.1,0.7,1.8\
70,Alexandre Burrows\\burroal01,VAN,NHL,RW,2016-17,35,34,7,8,15,0,33,7,0,0,0,69,10.1,495,0.21,0.24,0.44,2.03,1.1,0.6,1.8\
71,Phillip Danault\\danauph01,MTL,NHL,LW,2016-17,23,37,7,9,16,-2,10,7,0,0,2,59,11.9,507,0.19,0.24,0.43,1.59,1.2,0.3,1.5\
72,Jason Demers\\demerja01,FLA,NHL,D,2016-17,28,38,7,9,16,0,18,7,0,0,0,47,14.9,775,0.18,0.24,0.42,1.24,1.6,2,3.6\
73,Aaron Ekblad\\ekblaaa01,FLA,NHL,D,2016-17,20,38,7,3,10,-17,36,5,2,0,2,129,5.4,870,0.18,0.08,0.26,3.39,0.8,0.8,1.6\
74,Mike Green\\greenmi03,DET,NHL,D,2016-17,31,32,7,11,18,-5,20,6,1,0,1,59,11.9,782,0.22,0.34,0.56,1.84,1.9,1.4,3.2\
75,Nick Holden\\holdeni01,NYR,NHL,D,2016-17,29,39,7,13,20,16,10,5,2,0,2,35,20,786,0.18,0.33,0.51,0.9,2.1,2.6,4.7\
76,Ryan Johansen\\johanry01,NSH,NHL,C,2016-17,24,36,7,20,27,1,22,3,3,1,3,83,8.4,674,0.19,0.56,0.75,2.31,2,0.8,2.8\
77,Mark Letestu\\letesma01,EDM,NHL,C,2016-17,31,35,7,10,17,0,9,2,3,2,3,51,13.7,497,0.2,0.29,0.49,1.46,1.4,0.6,1.9\
78,Torrey Mitchell\\mitchto01,MTL,NHL,C,2016-17,32,37,7,5,12,7,22,7,0,0,1,36,19.4,499,0.19,0.14,0.32,0.97,0.7,0.7,1.4\
79,Ryan Nugent-Hopkins\\nugenry01,EDM,NHL,C,2016-17,23,38,7,11,18,-9,16,4,3,0,2,105,6.7,680,0.18,0.29,0.47,2.76,1,0.4,1.3\
80,Ryan O'Reilly\\oreilry01,BUF,NHL,C,2016-17,25,27,7,11,18,-1,6,4,3,0,2,85,8.2,581,0.26,0.41,0.67,3.15,1.2,0.7,1.9\
81,Corey Perry\\perryco01,ANA,NHL,RW,2016-17,31,39,7,22,29,-6,27,5,2,0,1,111,6.3,717,0.18,0.56,0.74,2.85,2.1,0.6,2.7\
82,Alex Pietrangelo\\pietral01,STL,NHL,D,2016-17,27,37,7,11,18,-5,14,4,3,0,2,83,8.4,925,0.19,0.3,0.49,2.24,1.7,1.8,3.4\
83,Brett Ritchie\\ritchbr01,DAL,NHL,RW,2016-17,23,38,7,4,11,3,19,6,1,0,0,85,8.2,493,0.18,0.11,0.29,2.24,0.6,0.7,1.3\
84,Justin Schultz\\schulju01,PIT,NHL,D,2016-17,26,38,7,17,24,23,10,6,1,0,1,71,9.9,698,0.18,0.45,0.63,1.87,2.6,2.8,5.4\
85,Reilly Smith\\smithre01,FLA,NHL,RW,2016-17,25,36,7,9,16,-6,8,2,4,1,2,73,9.6,691,0.19,0.25,0.44,2.03,0.7,0.6,1.3\
86,Jason Spezza\\spezzja01,DAL,NHL,C,2016-17,33,31,7,15,22,-13,19,5,1,1,2,70,10,520,0.23,0.48,0.71,2.26,1.8,0,1.8\
87,Ryan Spooner\\spoonry01,BOS,NHL,C,2016-17,25,39,7,12,19,-1,10,5,2,0,2,80,8.8,571,0.18,0.31,0.49,2.05,1.4,0.8,2.2\
88,Jordan Staal\\staaljo01,CAR,NHL,C,2016-17,28,29,7,7,14,-1,11,4,2,1,1,61,11.5,533,0.24,0.24,0.48,2.1,0.9,0.7,1.6\
89,Paul Stastny\\stastpa01,STL,NHL,C,2016-17,31,37,7,11,18,1,24,5,2,0,2,55,12.7,736,0.19,0.3,0.49,1.49,0.8,0.9,1.7\
90,Chris Stewart\\stewach02,MIN,NHL,RW,2016-17,29,36,7,3,10,0,47,7,0,0,0,33,21.2,378,0.19,0.08,0.28,0.92,0.9,0.3,1.2\
91,P.K. Subban\\subbapk01,NSH,NHL,D,2016-17,27,29,7,10,17,-11,25,4,3,0,2,80,8.8,727,0.24,0.34,0.59,2.76,1.8,0.6,2.4\
92,Antoine Vermette\\vermean01,ANA,NHL,C,2016-17,34,39,7,9,16,-6,22,4,3,0,0,53,13.2,632,0.18,0.23,0.41,1.36,0.9,0.5,1.3\
93,Jay Beagle\\beaglja01,WSH,NHL,RW,2016-17,31,36,6,8,14,11,8,5,0,1,2,45,13.3,473,0.17,0.22,0.39,1.25,0.9,1,2.0\
94,Blake Comeau\\comeabl01,COL,NHL,LW,2016-17,30,33,6,2,8,-6,36,3,2,1,0,49,12.2,523,0.18,0.06,0.24,1.48,0.1,0.5,0.6\
95,Drew Doughty\\doughdr01,LAK,NHL,D,2016-17,27,37,6,12,18,5,22,4,2,0,0,87,6.9,1005,0.16,0.32,0.49,2.35,1.5,3,4.5\
96,Brendan Gallagher\\gallabr01,MTL,NHL,RW,2016-17,24,37,6,12,18,4,29,5,1,0,1,102,5.9,563,0.16,0.32,0.49,2.76,1.1,0.6,1.7\
97,Dougie Hamilton\\hamildo01,CGY,NHL,D,2016-17,23,38,6,16,22,0,36,6,0,0,3,111,5.4,737,0.16,0.42,0.58,2.92,2.2,1.6,3.8\
98,Boone Jenner\\jennebo01,CBJ,NHL,C,2016-17,23,35,6,5,11,1,19,6,0,0,1,77,7.8,533,0.17,0.14,0.31,2.2,0.4,0.5,0.9\
99,Bryan Little\\littlbr01,WPG,NHL,C,2016-17,29,16,6,6,12,1,4,4,2,0,1,40,15,270,0.38,0.38,0.75,2.5,1.3,0.3,1.6\
100,Jordan Martinook\\martijo01,ARI,NHL,LW,2016-17,24,37,6,8,14,-2,16,5,1,0,0,60,10,609,0.16,0.22,0.38,1.62,0.5,0.6,1.1\
101,Jamie McGinn\\mcginja01,ARI,NHL,LW,2016-17,28,32,6,3,9,-4,19,6,0,0,2,62,9.7,434,0.19,0.09,0.28,1.94,0.5,0.3,0.8\
102,Brandon Pirri\\pirribr01,NYR,NHL,RW,2016-17,25,37,6,8,14,0,15,2,4,0,3,57,10.5,464,0.16,0.22,0.38,1.54,1,0.4,1.4\
103,Matt Read\\readma01,PHI,NHL,RW,2016-17,30,28,6,4,10,-2,2,4,2,0,0,42,14.3,411,0.21,0.14,0.36,1.5,0.7,0.4,1.1\
104,Andrew Shaw\\shawan01,MTL,NHL,C,2016-17,25,29,6,9,15,12,58,5,1,0,0,58,10.3,437,0.21,0.31,0.52,2,1.1,0.9,2.0\
105,Devin Shore\\shorede01,DAL,NHL,C,2016-17,22,38,6,8,14,-1,4,6,0,0,0,55,10.9,505,0.16,0.21,0.37,1.45,0.8,0.5,1.3\
106,Ryan Strome\\stromry01,NYI,NHL,RW,2016-17,23,33,6,7,13,-4,16,5,1,0,1,58,10.3,469,0.18,0.21,0.39,1.76,0.9,0.2,1.1\
107,Jonathan Toews\\toewsjo01,CHI,NHL,C,2016-17,28,31,6,12,18,0,19,3,3,0,2,82,7.3,644,0.19,0.39,0.58,2.65,0.9,0.7,1.6\
108,Kris Versteeg\\verstkr01,CGY,NHL,RW,2016-17,30,27,6,11,17,2,8,4,2,0,1,38,15.8,372,0.22,0.41,0.63,1.41,1.5,0.5,2.0\
109,Andreas Athanasiou\\athanan01,DET,NHL,C,2016-17,22,23,5,2,7,-4,9,5,0,0,0,40,12.5,278,0.22,0.09,0.3,1.74,0.6,0.2,0.8\
110,Josh Bailey\\bailejo01,NYI,NHL,LW,2016-17,27,36,5,19,24,0,4,4,1,0,1,70,7.1,688,0.14,0.53,0.67,1.94,1.4,0.5,1.9\
111,Kyle Brodziak\\brodzky01,STL,NHL,C,2016-17,32,37,5,3,8,-3,23,5,0,0,1,35,14.3,376,0.14,0.08,0.22,0.95,0.4,0.3,0.7\
112,Matt Calvert\\calvema01,CBJ,NHL,LW,2016-17,27,30,5,2,7,6,35,3,0,2,1,43,11.6,424,0.17,0.07,0.23,1.43,0.2,0.6,0.8\
113,Alex Chiasson\\chiasal01,CGY,NHL,RW,2016-17,26,39,5,6,11,3,23,4,0,1,1,49,10.2,540,0.13,0.15,0.28,1.26,0.2,0.8,1.0\
