,,,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,,,,Per Game,Per Game,Per Game,Per Game,Point Shares,Point Shares,Point Shares\
Rk,Player,Tm,Lg,Pos,Season,Age,GP,G,A,PTS,#ERROR!,PIM,EV,PP,SH,GW,S,S%,TOI,G,A,PTS,S,OPS,DPS,PS\
346,Matthew Peca\\pecama01,TBL,NHL,C,2016-17,23,3,0,1,1,1,0,0,0,0,0,3,0,39,0,0.33,0.33,1,0,0.1,0.1\
347,Paul Postma\\postmpa01,WPG,NHL,D,2016-17,27,33,0,7,7,-1,4,0,0,0,0,25,0,390,0,0.21,0.21,0.76,0.3,0.6,0.9\
348,Derrick Pouliot\\poulide01,PIT,NHL,D,2016-17,23,7,0,0,0,-3,4,0,0,0,0,10,0,101,0,0,0,1.43,-0.1,-0.1,-0.3\
349,Dalton Prout\\proutda01,CBJ,NHL,D,2016-17,26,8,0,0,0,2,8,0,0,0,0,3,0,121,0,0,0,0.38,-0.2,0.4,0.2\
350,Ryan Pulock\\pulocry01,NYI,NHL,D,2016-17,22,1,0,0,0,1,0,0,0,0,0,0,,4,0,0,0,0,0,0.1,0.1\
351,Teddy Purcell\\purcete01,LAK,NHL,LW,2016-17,31,12,0,2,2,0,0,0,0,0,0,10,0,155,0,0.17,0.17,0.83,-0.2,0.2,0.0\
352,John Quenneville\\quennjo02,NJD,NHL,C,2016-17,20,2,0,0,0,-1,2,0,0,0,0,0,,17,0,0,0,0,0,0,-0.1\
353,Ty Rattie\\rattity01,STL,NHL,RW,2016-17,23,4,0,0,0,0,0,0,0,0,0,1,0,29,0,0,0,0.25,-0.1,0,0.0\
354,Mason Raymond\\raymoma01,ANA,NHL,LW,2016-17,31,4,0,0,0,-2,0,0,0,0,0,3,0,36,0,0,0,0.75,-0.1,0,-0.1\
355,Tanner Richard\\richata01,TBL,NHL,C,2016-17,23,3,0,0,0,-2,2,0,0,0,0,1,0,38,0,0,0,0.33,-0.1,0,-0.2\
356,Evan Rodrigues\\rodriev01,BUF,NHL,LW,2016-17,23,2,0,0,0,-1,0,0,0,0,0,2,0,23,0,0,0,1,-0.1,0,-0.1\
357,Kris Russell\\russekr01,EDM,NHL,D,2016-17,29,31,0,5,5,2,10,0,0,0,0,36,0,666,0,0.16,0.16,1.16,-0.3,1.6,1.3\
358,Luke Schenn\\schenlu01,ARI,NHL,D,2016-17,27,33,0,2,2,1,39,0,0,0,0,40,0,524,0,0.06,0.06,1.21,-0.4,1.3,0.8\
359,Nick Schultz\\schulni01,PHI,NHL,D,2016-17,34,11,0,3,3,1,6,0,0,0,0,10,0,181,0,0.27,0.27,0.91,0.1,0.5,0.6\
360,Michael Sgarbossa\\sgarbmi01,TOT,NHL,C,2016-17,24,11,0,2,2,-2,0,0,0,0,0,9,0,108,0,0.18,0.18,0.82,-0.1,0,0.0\
361,Riley Sheahan\\sheahri01,DET,NHL,C,2016-17,25,36,0,6,6,-14,12,0,0,0,0,56,0,511,0,0.17,0.17,1.56,-0.8,0.1,-0.7\
362,Hunter Shinkaruk\\shinkhu01,CGY,NHL,LW,2016-17,22,7,0,1,1,-3,2,0,0,0,0,5,0,74,0,0.14,0.14,0.71,-0.1,0,-0.1\
363,Dillon Simpson\\simpsdi01,EDM,NHL,D,2016-17,,3,0,0,0,0,2,0,0,0,0,2,0,33,0,0,0,0.67,0,0.1,0.0\
364,Trevor Smith\\smithtr01,NSH,NHL,C,2016-17,31,1,0,0,0,0,0,0,0,0,0,0,,7,0,0,0,0,0,0,0.0\
365,Blake Speers\\speerbl01,NJD,NHL,C,2016-17,20,3,0,0,0,0,0,0,0,0,0,3,0,28,0,0,0,1,-0.1,0,0.0\
366,Michael Stone\\stonemi01,ARI,NHL,D,2016-17,26,25,0,6,6,-8,4,0,0,0,0,29,0,496,0,0.24,0.24,1.16,0,0.4,0.5\
367,Dylan Strome\\stromdy01,ARI,NHL,C,2016-17,19,7,0,1,1,-5,0,0,0,0,0,6,0,96,0,0.14,0.14,0.86,-0.2,-0.1,-0.3\
368,Chris Tanev\\tanevch01,VAN,NHL,D,2016-17,27,16,0,3,3,2,6,0,0,0,0,8,0,329,0,0.19,0.19,0.5,-0.1,1,0.9\
369,Shawn Thornton\\thornsh01,FLA,NHL,LW,2016-17,39,14,0,1,1,-3,7,0,0,0,0,6,0,86,0,0.07,0.07,0.43,-0.1,0,-0.1\
370,Jordin Tootoo\\tootojo01,CHI,NHL,RW,2016-17,33,30,0,0,0,-2,16,0,0,0,0,28,0,196,0,0,0,0.93,-0.6,0.1,-0.4\
371,Phil Varone\\varonph01,OTT,NHL,C,2016-17,26,4,0,0,0,-2,2,0,0,0,0,0,,33,0,0,0,0,-0.1,0,-0.1\
372,Linden Vey\\veyli01,CGY,NHL,RW,2016-17,25,4,0,0,0,-2,0,0,0,0,0,1,0,44,0,0,0,0.25,-0.1,0,-0.2\
373,Jake Virtanen\\virtaja01,VAN,NHL,RW,2016-17,20,10,0,1,1,1,2,0,0,0,0,13,0,101,0,0.1,0.1,1.3,-0.2,0.2,0.0\
374,Tyler Wotherspoon\\wothety01,CGY,NHL,D,2016-17,23,2,0,0,0,-1,0,0,0,0,0,0,,21,0,0,0,0,0,0,-0.1\
375,Harry Zolnierczyk\\zolniha01,NSH,NHL,LW,2016-17,29,1,0,0,0,0,2,0,0,0,0,0,,8,0,0,0,0,0,0,0.0}
